rev_id,article_quality
235107991.0,Stub
355319463.0,Stub
391862046.0,Stub
391862070.0,Stub
391862409.0,Stub
391862819.0,Stub
391863340.0,Stub
391863361.0,Stub
391863617.0,Stub
391863809.0,Stub
393276188.0,Stub
393298432.0,Stub
393822005.0,Stub
394482629.0,Stub
394482891.0,Stub
394580295.0,Stub
394580630.0,Stub
394580939.0,Stub
394580993.0,Stub
394581284.0,Stub
394581557.0,Stub
394587483.0,Stub
394587547.0,Stub
395521877.0,Stub
395526568.0,Stub
401577829.0,Stub
413885084.0,Stub
433871129.0,Stub
433871165.0,Stub
435008715.0,Stub
437454659.0,Stub
437735138.0,Stub
438305657.0,Stub
439671509.0,Stub
439708117.0,Stub
440397578.0,Stub
440594068.0,Stub
440598656.0,Stub
441172886.0,Stub
441186581.0,Stub
441771813.0,Stub
441995465.0,Stub
442411422.0,Stub
442913438.0,Stub
442937236.0,Stub
443468553.0,Stub
443469862.0,Stub
443470532.0,Stub
443496992.0,Stub
443497423.0,Stub
443497605.0,Stub
443498496.0,Stub
443499145.0,Stub
443499367.0,Stub
443521996.0,Stub
443628777.0,Stub
443632023.0,Stub
443633073.0,Stub
443634517.0,Stub
443640939.0,Stub
443641865.0,Stub
444002354.0,Stub
444023126.0,Stub
444023605.0,Stub
444023818.0,Stub
444031013.0,Stub
444036980.0,Stub
444371643.0,Stub
444373997.0,Stub
444377000.0,Stub
444381930.0,Stub
444431830.0,Stub
444756008.0,Stub
444756369.0,Stub
444759010.0,Stub
444762949.0,Stub
444766243.0,Stub
444766443.0,Stub
444767261.0,Stub
444767517.0,Stub
444767727.0,Stub
444767985.0,Stub
445199467.0,Stub
445225417.0,Stub
445365862.0,Stub
445403015.0,Stub
445676138.0,Stub
446008048.0,Stub
446011535.0,Stub
446019004.0,Stub
446192353.0,Stub
446194245.0,Stub
446196171.0,Stub
446200358.0,Stub
446202781.0,Stub
446205420.0,Stub
446207794.0,Stub
446214240.0,Stub
446219671.0,Stub
446221243.0,Stub
446222994.0,Stub
446465586.0,Stub
446468308.0,Stub
447694868.0,Stub
447696094.0,Stub
448555418.0,Stub
450168181.0,Stub
455747046.0,Stub
455961992.0,Stub
456370038.0,Stub
468942507.0,Stub
470173494.0,C
470905661.0,Stub
471851224.0,Stub
477962574.0,Stub
481837976.0,Stub
488705675.0,Stub
492060822.0,Stub
492964343.0,Stub
495124898.0,Stub
496528097.0,Stub
496900283.0,Stub
498683267.0,Stub
502721672.0,C
503442332.0,Stub
508253799.0,Stub
516633096.0,Start
519257222.0,Stub
521986779.0,Stub
527463943.0,Stub
529588432.0,Stub
530047771.0,Stub
530242215.0,Stub
530284522.0,Stub
530322698.0,Stub
530323140.0,Stub
530323678.0,Stub
530544520.0,Stub
530554988.0,Stub
530739845.0,Stub
530740001.0,Stub
530742252.0,Stub
530744043.0,Stub
531458172.0,Stub
531459628.0,Stub
532253442.0,Stub
535173663.0,Stub
535403481.0,Stub
535403528.0,Stub
535414539.0,Stub
535414570.0,Stub
535414592.0,Stub
535414613.0,Stub
535414628.0,Stub
535414676.0,Stub
535415787.0,Stub
535444722.0,Stub
535446024.0,Stub
535446071.0,Stub
535446127.0,Stub
535446167.0,Stub
535446194.0,Stub
535446209.0,Stub
535446218.0,Stub
535446243.0,Stub
535498320.0,Stub
536462949.0,Stub
539244575.0,Stub
539244631.0,Stub
539551401.0,Stub
539551660.0,Stub
539551701.0,Stub
540004474.0,Stub
540004518.0,Stub
540100985.0,Stub
540117421.0,Stub
540379020.0,Stub
540459929.0,Stub
540465312.0,Stub
540468218.0,Stub
540963885.0,Stub
540974764.0,Stub
540988222.0,Stub
540992721.0,Stub
540993236.0,Stub
540993708.0,Stub
540993715.0,Stub
540993917.0,Stub
540994040.0,Stub
540994071.0,Stub
540994162.0,Stub
540996332.0,Stub
540996389.0,Stub
540996510.0,Stub
540996703.0,Stub
540996796.0,Stub
540997088.0,Stub
540997313.0,Stub
540997908.0,Stub
541003996.0,Stub
541004175.0,Stub
541009166.0,Stub
541017284.0,Stub
541019756.0,Stub
541142538.0,Stub
543225630.0,Stub
544279941.0,Stub
544347736.0,Stub
544666451.0,Stub
545449302.0,Stub
545936100.0,Stub
546364151.0,Start
546498071.0,Stub
546935871.0,Stub
547269505.0,Stub
548181438.0,Stub
548342756.0,Stub
548684337.0,Stub
548766254.0,Stub
549300521.0,Stub
549366748.0,Stub
550432744.0,Stub
550682925.0,Stub
550953646.0,Stub
551712542.0,Stub
551889841.0,Stub
552027405.0,Stub
556222971.0,Stub
559149314.0,Stub
559553872.0,Stub
559788982.0,Stub
560171855.0,Stub
560300020.0,Stub
560300100.0,Stub
560326236.0,Stub
560421629.0,Stub
560422911.0,Stub
560564875.0,Stub
560758943.0,Stub
560768421.0,Stub
561071682.0,Stub
561074684.0,Stub
561074815.0,Stub
561075472.0,Stub
561076576.0,Stub
561744402.0,Stub
563278006.0,Stub
563278068.0,Stub
563745261.0,Stub
563745346.0,Stub
563745360.0,Stub
564225242.0,Stub
564225270.0,Stub
564315998.0,Stub
564317418.0,Stub
564317537.0,Stub
564317569.0,Stub
564317591.0,Stub
564438801.0,Stub
564873005.0,Stub
565745353.0,Stub
565745365.0,Stub
565745375.0,Stub
566428829.0,Stub
566478181.0,Stub
566504165.0,Start
567181489.0,Stub
567204972.0,Stub
567212908.0,Stub
567620803.0,Stub
567620838.0,Stub
573710096.0,B
574571582.0,Stub
576988466.0,Stub
577828365.0,Stub
581109695.0,Stub
581109760.0,Stub
581109965.0,Stub
581110015.0,Stub
581110109.0,Stub
581110137.0,Stub
582616049.0,Stub
583459402.0,Stub
585140171.0,Stub
585354886.0,Stub
585817999.0,Stub
585894477.0,Stub
590905939.0,Stub
591438058.0,Stub
592089814.0,Stub
592289232.0,Stub
594545324.0,Stub
594545381.0,Stub
594545594.0,Stub
595693452.0,Start
596181202.0,Start
598819900.0,Start
601122766.0,Stub
601127343.0,Start
601137346.0,Stub
602470386.0,Stub
603583697.0,Stub
605879488.0,Stub
607934598.0,Stub
610315750.0,Stub
612095066.0,Stub
612095385.0,Stub
612801561.0,Stub
614786300.0,Start
615286075.0,Stub
615286422.0,Stub
615616012.0,Stub
615935504.0,Stub
616604396.0,Stub
617753792.0,Stub
617753923.0,Stub
618829831.0,Stub
619542964.0,Stub
620367767.0,Stub
621495219.0,Stub
621495266.0,Stub
623004627.0,Stub
623334577.0,Stub
623594207.0,Stub
624468970.0,Stub
625509885.0,Start
626606789.0,Stub
627001041.0,Stub
627051151.0,Stub
627432937.0,Stub
627547024.0,Stub
628261896.0,Stub
628268705.0,Stub
628270736.0,Stub
628312759.0,Stub
628379479.0,Stub
628563978.0,Stub
628619000.0,Stub
628766656.0,Stub
628988952.0,Stub
629562076.0,Stub
629818376.0,Stub
630396351.0,Stub
630396786.0,Stub
630704768.0,Stub
631002637.0,Stub
631437331.0,Stub
631581752.0,Start
632008524.0,Start
632261377.0,Stub
632447328.0,Stub
632582059.0,Stub
633612729.0,Start
633883875.0,Stub
634032715.0,B
635021360.0,Stub
635175072.0,Stub
635240253.0,Stub
635814126.0,Stub
636911471.0,Stub
637674341.0,Stub
637801253.0,Stub
638039494.0,Stub
638214719.0,Stub
638362866.0,Start
638377138.0,Stub
638566016.0,Start
